insert	skiplist 0.5	sortedarray	treap		hash table
10	0		0		0		0
11	0		0		0		0
12	0		0.015625	0		0
13	0		0.046875	0		0
14	0.015625	0.21875		0.015625	0
15	0.015625	0.921875	0.015625	0.015625
16	0.03125		3.875		0.03125		0.015625
17	0.0625		15.6875		0.046875	0.03125
18	0.171875	62.7031		0.109375	0.046875
19	0.390625	249.953		0.28125		0.125
20	1.15625		998.984		0.734375	0.265625
21	3.5625		3918.62		2.0625		0.546875
22	7.1875		15433.9		5.375		1.14062
23	15.9062				11.3281		2.3125
24	36.5625				26.2656		5.17188
25	95.6875				59.5		10.7656
26	209.5				134.266		20.25
27	478.25				322.641		55.8281
28					749.766		

