search		skiplist	sortedarray	treap		hash table
10		0		0.015625	0		0
11		0.015625	0.015625	0		0.015625
12		0.015625	0.03125		0.015625	0
13		0.015625	0.03125		0.015625	0
14		0.015625	0.03125		0.015625	0
15		0.03125		0.03125		0.015625	0
16		0.046875	0.03125		0.03125		0
17		0.046875	0.03125		0.03125		0.015625
18		0.0625		0.046875	0.046875	0.015625
19		0.09375		0.046875	0.0625		0.015625
20		0.171875	0.046875	0.078125	0.015625
21		0.203125	0.0625		0.109375	0.015625
22		0.15625		0.0625		0.140625	0.015625
23		0.1875				0.15625		0.015625
24		0.25				0.171875	0.015625
25		0.328125			0.1875		0.015625
26		0.328125			0.21875		0.03125
27		0.390625			0.265625	0.03125
28						0.3125		

